companyid,transcriptid,mostimportantdateutc,headline,transcriptcollectiontypename,transcriptpresentationtypename,transcriptcreationdate_utc,audiolengthsec,priority,call_quarter,call_year,gvkey,companyname,reason,best_speaker,ceo_candidates,rescue_reason
36040,1515648,2018-07-26,"Universal Health Services, Inc., Q2 2018 Earnings Call, Jul 26, 2018",Audited Copy,Final,2018-08-01,3397,0,2.0,2018.0,011032,"Universal Health Services, Inc.",low_match_score (34.78260869565217),Steve Filton,Alan Miller,still_low (34.8)
36040,1582630,2018-10-26,"Universal Health Services, Inc., Q3 2018 Earnings Call, Oct 26, 2018",Audited Copy,Final,2018-10-30,3951,0,3.0,2018.0,011032,"Universal Health Services, Inc.",low_match_score (34.78260869565217),Steve Filton,Alan Miller,still_low (34.8)
36040,1714398,2019-04-26,"Universal Health Services, Inc., Q1 2019 Earnings Call, Apr 26, 2019",Audited Copy,Final,2019-05-01,2784,0,1.0,2019.0,011032,"Universal Health Services, Inc.",low_match_score (34.78260869565217),Steve Filton,Alan Miller,still_low (34.8)
36040,1934284,2020-02-27,"Universal Health Services, Inc., Q4 2019 Earnings Call, Feb 27, 2020",Audited Copy,Final,2020-03-11,2966,0,4.0,2019.0,011032,"Universal Health Services, Inc.",low_match_score (34.78260869565217),Steve Filton,Alan Miller,still_low (34.8)
36040,2089571,2020-07-28,"Universal Health Services, Inc., Q2 2020 Earnings Call, Jul 28, 2020",Proofed Copy,Final,2020-09-03,2306,0,2.0,2020.0,011032,"Universal Health Services, Inc.",low_match_score (34.78260869565217),Steve Filton,Alan Miller,still_low (34.8)
36040,2351572,2021-07-27,"Universal Health Services, Inc., Q2 2021 Earnings Call, Jul 27, 2021",Edited Copy,Final,2021-07-27,2400,0,2.0,2021.0,011032,"Universal Health Services, Inc.",low_match_score (26.086956521739125),Steve Filton,Marc Miller,still_low (26.1)
36040,2412757,2021-10-26,"Universal Health Services, Inc., Q3 2021 Earnings Call, Oct 26, 2021",Edited Copy,Final,2021-10-26,3328,0,3.0,2021.0,011032,"Universal Health Services, Inc.",low_match_score (26.086956521739125),Steve Filton,Marc Miller,still_low (26.1)
97199,1645691,2019-01-31,"Northrop Grumman Corporation, Q4 2018 Earnings Call, Jan 31, 2019",Audited Copy,Final,2019-02-01,3509,0,4.0,2018.0,007985,Northrop Grumman Corporation,low_match_score (40.0),Stephen Movius,Wesley Bush,still_low (40.0)
107405,1509549,2018-07-26,"D.R. Horton, Inc., Q3 2018 Earnings Call, Jul 26, 2018",Edited Copy,Final,2018-07-26,3640,0,3.0,2018.0,025340,"D.R. Horton, Inc.",low_match_score (33.33333333333333),Michael Murray,David Auld,still_low (33.3)
112350,1491055,2018-04-17,"International Business Machines Corporation, Q1 2018 Earnings Call, Apr 17, 2018",Audited Copy,Final,2018-06-15,4242,0,1.0,2018.0,006066,International Business Machines Corporation,low_match_score (45.16129032258065),Patricia Murphy,Virginia Rometty,still_low (45.2)
112350,1502868,2018-07-18,"International Business Machines Corporation, Q2 2018 Earnings Call, Jul 18, 2018",Edited Copy,Final,2018-07-19,4555,0,2.0,2018.0,006066,International Business Machines Corporation,low_match_score (45.16129032258065),Patricia Murphy,Virginia Rometty,still_low (45.2)
112350,1570903,2018-10-16,"International Business Machines Corporation, Q3 2018 Earnings Call, Oct 16, 2018",Edited Copy,Final,2018-10-17,4556,0,3.0,2018.0,006066,International Business Machines Corporation,low_match_score (45.16129032258065),Patricia Murphy,Virginia Rometty,still_low (45.2)
112350,1638613,2019-01-22,"International Business Machines Corporation, Q4 2018 Earnings Call, Jan 22, 2019",Edited Copy,Final,2019-01-23,4939,0,4.0,2018.0,006066,International Business Machines Corporation,low_match_score (45.16129032258065),Patricia Murphy,Virginia Rometty,still_low (45.2)
112350,1721612,2019-04-16,"International Business Machines Corporation, Q1 2019 Earnings Call, Apr 16, 2019",Audited Copy,Final,2019-05-06,4362,0,1.0,2019.0,006066,International Business Machines Corporation,low_match_score (45.16129032258065),Patricia Murphy,Virginia Rometty,still_low (45.2)
112350,1827829,2019-07-17,"International Business Machines Corporation, Q2 2019 Earnings Call, Jul 17, 2019",Audited Copy,Final,2019-09-24,3398,0,2.0,2019.0,006066,International Business Machines Corporation,low_match_score (45.16129032258065),Patricia Murphy,Virginia Rometty,still_low (45.2)
112350,1837205,2019-10-16,"International Business Machines Corporation, Q3 2019 Earnings Call, Oct 16, 2019",Audited Copy,Final,2019-10-23,3955,0,3.0,2019.0,006066,International Business Machines Corporation,low_match_score (45.16129032258065),Patricia Murphy,Virginia Rometty,still_low (45.2)
112350,1893250,2020-01-21,"International Business Machines Corporation, Q4 2019 Earnings Call, Jan 21, 2020",Proofed Copy,Final,2020-01-23,3896,0,4.0,2019.0,006066,International Business Machines Corporation,low_match_score (45.16129032258065),Patricia Murphy,Virginia Rometty,still_low (45.2)
140233,2554540,2022-05-05,"Tripadvisor, Inc., Q1 2022 Earnings Call, May 05, 2022",Edited Copy,Final,2022-05-05,3027,0,1.0,2022.0,199356,"Tripadvisor, Inc.",low_match_score (40.0),Stephen Kaufer,Matthew Goldberg,still_low (40.0)
